Job Title,Job Company,Job Location,Salary Estimate,Company Rating,Company Rating Numbers,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue
"Data Scientist I, Product Analytics",Tinder,"San Francisco, CA",,"3.5
★★★★★",1,201 to 500 Employees,2012,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,"Bolt
4.7","San Francisco, CA",$89K - $182K (Glassdoor est.),"4.7
★★★★★",99,51 to 200 Employees,2014,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist,IDEO,"San Francisco, CA",$92K - $186K (Glassdoor est.),-1,0,Unknown,,Company - Private,,,Unknown / Non-Applicable
Data Scientist,"Camus Energy
4.0","San Francisco, CA",$80K - $162K (Glassdoor est.),"4.0
★★★★★",0,Unknown,,Company - Private,,,Unknown / Non-Applicable
"Experience Researcher, AI","Adobe
4.4","San Francisco, CA",$57K - $145K (Glassdoor est.),"4.4
★★★★★",1216,10000+ Employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
Growth Data Scientist,"Data Science Works, Inc","San Francisco, CA",$90K - $120K (Employer est.),-1,0,,,,,,
Data Scientist,"Grammarly, Inc.
4.9","San Francisco, CA",$104K - $180K (Glassdoor est.),"4.9
★★★★★",121,201 to 500 Employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Senior Data Scientist - Analytics,"Twitch Interactive, Inc.
3.7","San Francisco, CA",$113K - $191K (Glassdoor est.),"3.7
★★★★★",4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist (associate level),"Doorstead
4.5","San Francisco, CA",$75K - $167K (Glassdoor est.),"4.5
★★★★★",0,Unknown,,Company - Public,,,Unknown / Non-Applicable
Data Scientist,Solvenyle Technologies,"San Francisco, CA",$60 - $65 Per Hour(Employer est.),-1,0,,,,,,
Data Scientist,"FocusKPI Inc.
3.4","San Francisco, CA",$81K - $147K (Glassdoor est.),"3.4
★★★★★",0,51 to 200 Employees,,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD)
Senior Data Scientist,"MasterCard
4.2","San Francisco, CA",$110K - $204K (Glassdoor est.),"4.2
★★★★★",507,10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,$5 to $10 billion (USD)
"Data Scientist, Analytics - Customer Experience",Twitch,"San Francisco, CA",$99K - $196K (Glassdoor est.),"3.9
★★★★★",229,1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable
Research Analyst,"Mathematica Policy Research
3.8","Oakland, CA",$60K - $100K (Employer est.),"3.8
★★★★★",120,1001 to 5000 Employees,1986,Company - Private,Consulting,Business Services,$100 to $500 million (USD)
Machine Learning Scientist,"Glassdoor
4.0","San Francisco, CA",$129K - $162K (Employer est.),"4.0
★★★★★",188,501 to 1000 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Climate Data Scientist,"ClimateAI
5.0","San Francisco, CA",$79K - $157K (Glassdoor est.),"5.0
★★★★★",0,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
"Data Scientist, Impact Navigator","Skai
5.0","San Francisco, CA",$61K - $134K (Glassdoor est.),"5.0
★★★★★",0,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Data Scientist I,"Levi Strauss & Co.
4.0","San Francisco, CA",$90K - $154K (Glassdoor est.),"3.7
★★★★★",305,10000+ Employees,1853,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$2 to $5 billion (USD)
"Data Scientist, Analytics - Customer Experience","Twitch Interactive, Inc.
3.7","San Francisco, CA",$97K - $189K (Glassdoor est.),"3.7
★★★★★",4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
"Co-op - Development Sciences, Informatics - Data Analytics",Genentech,"San Francisco, CA",$98K - $197K (Glassdoor est.),"4.2
★★★★★",296,10000+ Employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist,"Tubi
4.0","San Francisco, CA",$86K - $190K (Glassdoor est.),"4.0
★★★★★",19,51 to 200 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
"Senior Data Scientist - Analytics, Airbnb.org","Airbnb
4.4","San Francisco, CA",$118K - $210K (Glassdoor est.),"4.4
★★★★★",334,5001 to 10000 Employees,2008,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Senior Data Scientist,"PROLIM Corporation
3.3","San Francisco, CA",$101K - $188K (Glassdoor est.),"3.3
★★★★★",48,201 to 500 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
Head of Messaging & Experience Data Science,"Discord
4.6","San Francisco, CA",$83K - $193K (Glassdoor est.),"4.6
★★★★★",62,51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD)
Statistical Analyst (REMOTE) - Long Term Contract - SF Bay Area Only,"Artizen, Inc.
4.5","San Francisco, CA",$56K - $135K (Glassdoor est.),"4.5
★★★★★",3,51 to 200 Employees,1991,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
Data Scientist,TEKsystems,"Martinez, CA",$80 Per Hour(Employer est.),"4.0
★★★★★",1812,1001 to 5000 Employees,1983,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD)
"Senior Principal Data Scientist, Data Strategy-Telecommute","UnitedHealth Group
3.7","San Francisco, CA",$103K - $175K (Glassdoor est.),"3.7
★★★★★",1756,10000+ Employees,1977,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD)
Data Scientist,"Harnham
4.0","San Francisco, CA",$80K - $146K (Glassdoor est.),"4.0
★★★★★",19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Machine Learning Engineer,"Harnham
4.0","San Francisco, CA",$170K - $190K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Principal Database Engineer,"Northrop Grumman
4.0",California,$82K - $123K (Employer est.),"4.0
★★★★★",1293,10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Engineer,"Harnham
4.0","San Francisco, CA",$160K - $190K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Director of Data Science,"Harnham
4.0","San Francisco, CA",$180K - $220K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
"Senior Data Scientist, Machine Learning - Growth","Discord
4.6","San Francisco, CA",$93K - $187K (Glassdoor est.),"4.6
★★★★★",62,51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD)
"Data Scientist, Analytics - Customer Experience","Twitch Interactive, Inc.
3.7","San Francisco, CA",$97K - $189K (Glassdoor est.),"3.7
★★★★★",4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
"Co-op - Development Sciences, Informatics - Data Analytics",Genentech,"San Francisco, CA",$98K - $197K (Glassdoor est.),"4.2
★★★★★",296,10000+ Employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Senior Data Scientist - Analytics,"Twitch Interactive, Inc.
3.7","San Francisco, CA",$113K - $191K (Glassdoor est.),"3.7
★★★★★",4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
"Data Scientist, Supply","Wish
3.6","San Francisco, CA",$103K - $184K (Glassdoor est.),"3.6
★★★★★",109,1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$1 to $2 billion (USD)
Senior Data Scientist,"MasterCard
4.2","San Francisco, CA",$110K - $204K (Glassdoor est.),"4.2
★★★★★",507,10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,$5 to $10 billion (USD)
Data Science Engineer,"Wayfair
3.4","San Francisco, CA",$90K - $160K (Glassdoor est.),"3.4
★★★★★",1938,10000+ Employees,2002,Company - Public,Home Furniture & Housewares Stores,Retail,$5 to $10 billion (USD)
Machine Learning Engineer,"Amazon.com Services LLC
3.7","San Francisco, CA",$96K - $180K (Glassdoor est.),"3.7
★★★★★",4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Senior Technical Recruiter (Machine Learning),"Grammarly, Inc.
4.9","San Francisco, CA",$88K - $200K (Glassdoor est.),"4.9
★★★★★",121,201 to 500 Employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
"Machine Learning Modeler, Financial Crimes","Square
4.2","Oakland, CA",$87K - $182K (Glassdoor est.),"4.2
★★★★★",559,5001 to 10000 Employees,2009,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
Machine Learning Scientist,"Glassdoor
4.0","San Francisco, CA",$129K - $162K (Employer est.),"4.0
★★★★★",188,501 to 1000 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
"Staff Software Engineer, Machine Learning - Search","Discord
4.6","San Francisco, CA",$119K - $246K (Glassdoor est.),"4.6
★★★★★",62,51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD)
"Data Scientist, Analytics - Customer Experience",Twitch,"San Francisco, CA",$99K - $196K (Glassdoor est.),"3.9
★★★★★",229,1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable
Machine Learning Engineer,"Salesforce
4.4","San Francisco, CA",$82K (Employer est.),"4.4
★★★★★",3514,10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
Data Scientist IV Advanced Analytics,"Kaiser Permanente
4.0","Oakland, CA",$84K - $136K (Glassdoor est.),"4.0
★★★★★",1050,10000+ Employees,1945,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD)
Head of Messaging & Experience Data Science,"Discord
4.6","San Francisco, CA",$83K - $193K (Glassdoor est.),"4.6
★★★★★",62,51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD)
Data Scientist,"Camus Energy
4.0","San Francisco, CA",$80K - $162K (Glassdoor est.),"4.0
★★★★★",0,Unknown,,Company - Private,,,Unknown / Non-Applicable
"Staff Data Scientist, Virtual HQ - Slack","Salesforce
4.4","San Francisco, CA",$142K (Employer est.),"4.4
★★★★★",3514,10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
Genomics Staff Data Scientist,"Lawrence Berkeley National Laboratory
4.4","San Francisco, CA",$94K - $170K (Glassdoor est.),"4.4
★★★★★",142,1001 to 5000 Employees,1931,Government,Research & Development,Business Services,$500 million to $1 billion (USD)
Senior Data Science Manager - Internal Platforms Science,"Indeed
4.3","San Francisco, CA",$179K - $259K (Employer est.),"4.3
★★★★★",703,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
"Software Engineer II, Machine Learning","Uber
4.0","San Francisco, CA",$98K - $198K (Glassdoor est.),"4.0
★★★★★",3142,10000+ Employees,2009,Company - Public,Internet,Information Technology,$10+ billion (USD)
Senior Machine Learning Engineer,"Uber
4.0","San Francisco, CA",$107K - $198K (Glassdoor est.),"4.0
★★★★★",3142,10000+ Employees,2009,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist,TEKsystems,"Martinez, CA",$80 Per Hour(Employer est.),"4.0
★★★★★",1812,1001 to 5000 Employees,1983,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD)
"Postdoctoral Scholar - Data Science Program, School of Information","Excelon Associates
4.8","Berkeley, CA",$60K - $65K (Employer est.),"4.8
★★★★★",1,1 to 50 Employees,2007,Company - Private,Staffing & Outsourcing,Business Services,Less than $1 million (USD)
Director of Data Science,"Harnham
4.0","San Francisco, CA",$180K - $220K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Data Engineer,"Harnham
4.0","San Francisco, CA",$160K - $190K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
"Co-op - Development Sciences, Informatics - Data Analytics",Genentech,"San Francisco, CA",$98K - $197K (Glassdoor est.),"4.2
★★★★★",296,10000+ Employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
"Senior Data Scientist, Machine Learning - Growth","Discord
4.6","San Francisco, CA",$93K - $187K (Glassdoor est.),"4.6
★★★★★",62,51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD)
Head of Messaging & Experience Data Science,"Discord
4.6","San Francisco, CA",$83K - $193K (Glassdoor est.),"4.6
★★★★★",62,51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD)
"Data Scientist, Analytics - Customer Experience","Twitch Interactive, Inc.
3.7","San Francisco, CA",$97K - $189K (Glassdoor est.),"3.7
★★★★★",4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
"Staff Data Scientist, Virtual HQ - Slack","Salesforce
4.4","San Francisco, CA",$142K (Employer est.),"4.4
★★★★★",3514,10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
Senior Data Scientist - Analytics,"Twitch Interactive, Inc.
3.7","San Francisco, CA",$113K - $191K (Glassdoor est.),"3.7
★★★★★",4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Machine Learning Engineer,"Amazon.com Services LLC
3.7","San Francisco, CA",$96K - $180K (Glassdoor est.),"3.7
★★★★★",4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Machine Learning Scientist,"Glassdoor
4.0","San Francisco, CA",$129K - $162K (Employer est.),"4.0
★★★★★",188,501 to 1000 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
"Data Scientist, Supply","Wish
3.6","San Francisco, CA",$103K - $184K (Glassdoor est.),"3.6
★★★★★",109,1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$1 to $2 billion (USD)
"Data Scientist, Analytics - Customer Experience",Twitch,"San Francisco, CA",$99K - $196K (Glassdoor est.),"3.9
★★★★★",229,1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable
Machine Learning Engineer,"Salesforce
4.4","San Francisco, CA",$90K - $192K (Glassdoor est.),"4.4
★★★★★",3514,10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
"Product Data Scientist, Camera","Snapchat
4.0","San Francisco, CA",$107K - $208K (Glassdoor est.),"4.0
★★★★★",140,1001 to 5000 Employees,2011,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Science Engineer,"Wayfair
3.4","San Francisco, CA",$90K - $160K (Glassdoor est.),"3.4
★★★★★",1938,10000+ Employees,2002,Company - Public,Home Furniture & Housewares Stores,Retail,$5 to $10 billion (USD)
Head of Machine Learning,"Sony Interactive Entertainment PlayStation
3.9","San Francisco, CA",$108K - $237K (Glassdoor est.),"3.9
★★★★★",100,5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD)
"Developer Relations Engineer, Team Lead, Data Analytics",Google,"San Francisco, CA",$108K - $213K (Glassdoor est.),"4.5
★★★★★",4665,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD)
Senior Technical Recruiter (Machine Learning),"Grammarly, Inc.
4.9","San Francisco, CA",$88K - $200K (Glassdoor est.),"4.9
★★★★★",121,201 to 500 Employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist (Telemedicine Analytics),Forward,"San Francisco, CA",$84K - $164K (Glassdoor est.),"4.0
★★★★★",86,Unknown,2016,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
"Senior Data Scientist, Analytics & Data","Williams Sonoma
3.2","San Francisco, CA",$84K - $157K (Glassdoor est.),"3.2
★★★★★",1127,10000+ Employees,1956,Company - Public,Home Furniture & Housewares Stores,Retail,$5 to $10 billion (USD)
"Senior Data Scientist, Slack Connect","Salesforce
4.4","San Francisco, CA",$122K (Employer est.),"4.4
★★★★★",3514,10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
Machine Learning Engineer,"Bolt
4.7","San Francisco, CA",$87K - $167K (Glassdoor est.),"4.7
★★★★★",99,51 to 200 Employees,2014,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Genomics Staff Data Scientist,"Lawrence Berkeley National Laboratory
4.4","San Francisco, CA",$94K - $170K (Glassdoor est.),"4.4
★★★★★",142,1001 to 5000 Employees,1931,Government,Research & Development,Business Services,$500 million to $1 billion (USD)
Software Engineer - Big Data,"Uber
4.0","San Francisco, CA",$105K - $197K (Glassdoor est.),"4.0
★★★★★",3142,10000+ Employees,2009,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist,TEKsystems,"Martinez, CA",$80 Per Hour(Employer est.),"4.0
★★★★★",1812,1001 to 5000 Employees,1983,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD)
Senior Data Science Manager - Internal Platforms Science,"Indeed
4.3","San Francisco, CA",$179K - $259K (Employer est.),"4.3
★★★★★",703,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Senior Machine Learning Engineer,"Uber
4.0","San Francisco, CA",$107K - $198K (Glassdoor est.),"4.0
★★★★★",3142,10000+ Employees,2009,Company - Public,Internet,Information Technology,$10+ billion (USD)
Senior Product Scientist - Candidate Delivery,"Indeed
4.3","San Francisco, CA",$118K - $170K (Employer est.),"4.3
★★★★★",703,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
"Postdoctoral Scholar - Data Science Program, School of Information","Excelon Associates
4.8","Berkeley, CA",$60K - $65K (Employer est.),"4.8
★★★★★",1,1 to 50 Employees,2007,Company - Private,Staffing & Outsourcing,Business Services,Less than $1 million (USD)
Senior Data Engineer,"Harnham
4.0","San Francisco, CA",$170K - $190K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Director of Data Science,"Harnham
4.0","San Francisco, CA",$180K - $220K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
"Data Scientist, Analytics - Customer Experience","Twitch Interactive, Inc.
3.7","San Francisco, CA",$97K - $189K (Glassdoor est.),"3.7
★★★★★",4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
"Data Scientist, Analytics - Customer Experience",Twitch,"San Francisco, CA",$99K - $196K (Glassdoor est.),"3.9
★★★★★",229,1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable
"Staff Data Scientist, Virtual HQ - Slack","Salesforce
4.4","San Francisco, CA",$142K (Employer est.),"4.4
★★★★★",3514,10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
Head of Messaging & Experience Data Science,"Discord
4.6","San Francisco, CA",$83K - $193K (Glassdoor est.),"4.6
★★★★★",62,51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD)
"Senior Data Scientist, Machine Learning - Growth","Discord
4.6","San Francisco, CA",$93K - $187K (Glassdoor est.),"4.6
★★★★★",62,51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD)
Senior Data Scientist - Analytics,"Twitch Interactive, Inc.
3.7","San Francisco, CA",$113K - $191K (Glassdoor est.),"3.7
★★★★★",4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
"Data Scientist, Supply","Wish
3.6","San Francisco, CA",$103K - $184K (Glassdoor est.),"3.6
★★★★★",109,1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$1 to $2 billion (USD)
Machine Learning Scientist,"Glassdoor
4.0","San Francisco, CA",$129K - $162K (Employer est.),"4.0
★★★★★",188,501 to 1000 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Machine Learning Engineer,"Amazon.com Services LLC
3.7","San Francisco, CA",$96K - $180K (Glassdoor est.),"3.7
★★★★★",4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Machine Learning Engineer,"Bolt
4.7","San Francisco, CA",$87K - $167K (Glassdoor est.),"4.7
★★★★★",99,51 to 200 Employees,2014,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Science Engineer,"Wayfair
3.4","San Francisco, CA",$90K - $160K (Glassdoor est.),"3.4
★★★★★",1938,10000+ Employees,2002,Company - Public,Home Furniture & Housewares Stores,Retail,$5 to $10 billion (USD)
Machine Learning Engineer,"DocuSign
4.4","San Francisco, CA",$109K - $196K (Glassdoor est.),"4.4
★★★★★",1139,5001 to 10000 Employees,2003,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
