Job Title,Job Company,Job Location,Salary Estimate,Company Rating,Company Rating Numbers,Company Size,Company Type,Company Industry,Company Sector,Company Revenue,Company Founded
"Sr. Data Analyst, eCommerce","Adecco
3.7","New York, NY",$90K (Employer est.),"3.7
★★★★★",616,10000+ Employees,Company - Public,Staffing & Outsourcing,Business Services,$10+ billion (USD),1996
Data Scientist - Delta One Strats,"Morgan Stanley
4.0","New York, NY",$83K - $172K (Glassdoor est.),"4.0
★★★★★",4364,10000+ Employees,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),1935
Entry Level - Associate Data Scientist (Commercial),"IBM
4.0","New York, NY",$65K - $160K (Glassdoor est.),"4.0
★★★★★",5805,10000+ Employees,Company - Public,IT Services,Information Technology,$10+ billion (USD),1911
"Data Engineer, User Fraud","Spotify
4.2","New York, NY",$94K - $204K (Glassdoor est.),"4.2
★★★★★",432,5001 to 10000 Employees,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,2006
Sustainable Finance Data Engineer,"Morgan Stanley
4.0","New York, NY",$62K - $148K (Glassdoor est.),"4.0
★★★★★",4364,10000+ Employees,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),1935
"Manager, Impact Data Science","MasterCard
4.2","New York, NY",$81K - $189K (Glassdoor est.),"4.2
★★★★★",507,10000+ Employees,Company - Public,Financial Transaction Processing,Finance,$5 to $10 billion (USD),1966
"Senior Data Scientist, Personalization","Spotify
4.2","New York, NY",$100K - $207K (Glassdoor est.),"4.2
★★★★★",432,5001 to 10000 Employees,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,2006
Data Scientist II - Marketing Science Specialist,"ACLU
3.9","New York, NY",$116K (Employer est.),"3.9
★★★★★",34,201 to 500 Employees,Nonprofit Organization,Membership Organizations,Business Services,$50 to $100 million (USD),1920
New Graduate Data Analyst,"Discovery, Inc.
3.8","New York, NY",$52K - $103K (Glassdoor est.),"3.8
★★★★★",638,10000+ Employees,Company - Public,TV Broadcast & Cable Networks,Media,$5 to $10 billion (USD),1985
JR. DATA SCIENTIST,ViacomCBS,"New York, NY",$70K - $133K (Glassdoor est.),"3.7
★★★★★",477,10000+ Employees,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),2019
Junior Data Engineer,ViacomCBS,"New York, NY",$61K - $117K (Glassdoor est.),"3.7
★★★★★",477,10000+ Employees,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),2019
"Data Scientist, Engineering",Google,"New York, NY",$110K - $203K (Glassdoor est.),"4.5
★★★★★",4665,10000+ Employees,Company - Public,Internet,Information Technology,$10+ billion (USD),1998
Data Strategist,"Morgan Stanley
4.0","New York, NY",$69K - $127K (Glassdoor est.),"4.0
★★★★★",4364,10000+ Employees,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),1935
Data Analyst,"Amex
4.2","New York, NY",$55K - $113K (Glassdoor est.),"3.1
★★★★★",487,10000+ Employees,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD),1850
"Data Scientist, Product Analytics","Etsy
4.6","Brooklyn, NY",$100K - $150K (Glassdoor est.),"4.6
★★★★★",101,1001 to 5000 Employees,Company - Public,Other Retail Stores,Retail,$1 to $2 billion (USD),2005
Data Science Commercial Lead,"Pfizer
4.2","New York, NY",$70K - $131K (Glassdoor est.),"4.2
★★★★★",893,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),1849
Data Analyst (Remote),"pulseData
5.0","New York, NY",$43K - $107K (Glassdoor est.),"5.0
★★★★★",2,1 to 50 Employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,2015
Data Scientist - Dalio Center for Health Justice,"NewYork-Presbyterian Hospital
4.1","New York, NY",$46K - $116K (Glassdoor est.),"4.1
★★★★★",871,10000+ Employees,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,1998
Information Technology Specialist – Azure Data Science Pipeline,"NewYork-Presbyterian Hospital
4.1","New York, NY",$51K - $117K (Glassdoor est.),"4.1
★★★★★",871,10000+ Employees,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,1998
Citizen Data Scientist - Remote,"Henkel
4.3","New York, NY",$69K - $138K (Glassdoor est.),"4.3
★★★★★",716,10000+ Employees,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),1876
Client Strategist (Direct Hire - Research & Analytics Firm),Employment Practices Group,"New York, NY",$100K - $125K (Employer est.),-1,0,,,,,,
"Data Modeling & Visualization Development Analyst, Enterprise Products","Bloomberg
4.1","New York, NY",$89K - $170K (Glassdoor est.),"4.1
★★★★★",1850,10000+ Employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,1981
"Lead, Data Analyst","Wework
3.6","New York, NY",$65K - $120K (Glassdoor est.),"3.6
★★★★★",408,10000+ Employees,Company - Private,Membership Organizations,Business Services,Unknown / Non-Applicable,2010
CLO Research Analyst,PreciseSource,"New York, NY",$150K - $180K (Employer est.),-1,0,1 to 50 Employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,2016
Data Engineer,"Wework
3.6","New York, NY",$78K - $151K (Glassdoor est.),"3.6
★★★★★",408,10000+ Employees,Company - Private,Membership Organizations,Business Services,Unknown / Non-Applicable,2010
"Data Scientist, Platforms & News Partnerships",Dow Jones,"New York, NY",$79K - $149K (Glassdoor est.),"3.7
★★★★★",62,5001 to 10000 Employees,Subsidiary or Business Segment,News Outlet,Media,$500 million to $1 billion (USD),1882
"Manager HR Analytics, Advanced Analytics & Modeling","Indeed
4.3","New York, NY",$180K - $260K (Employer est.),"4.3
★★★★★",703,10000+ Employees,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),2004
Enterprise Research Data Product Manager,"Bloomberg
4.1","New York, NY",$98K - $205K (Glassdoor est.),"4.1
★★★★★",1850,10000+ Employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,1981
Data Analyst- Full Time Remote,Michael Page,"New York, NY",$40K - $96K (Glassdoor est.),-1,0,5001 to 10000 Employees,Company - Private,,,$10+ billion (USD),1976
"Data Scientist, Demand Forecasting",Wonder,"New York, NY",$63K - $128K (Glassdoor est.),-1,0,1 to 50 Employees,Company - Private,,,Unknown / Non-Applicable,
"Analyst, Food and Beverage",Celebrity Cruises,"New York, NY",$60K (Employer est.),"4.2
★★★★★",106,1001 to 5000 Employees,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),1989
Software Engineer (Machine Learning) - Risk,"Uber
4.0","New York, NY",$85K - $184K (Glassdoor est.),"4.0
★★★★★",3142,10000+ Employees,Company - Public,Internet,Information Technology,$10+ billion (USD),2009
Staff Data Scientist - Product Analytics,"Intuit - Data
4.5","New York, NY",$106K - $183K (Glassdoor est.),"4.5
★★★★★",1583,5001 to 10000 Employees,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),1983
Senior Business Intelligence Analyst,"Menlo Park
5.0","New York, NY",$120K - $150K (Employer est.),"5.0
★★★★★",0,1 to 50 Employees,Company - Private,,,Unknown / Non-Applicable,
Data Engineer,Michael Page,"New York, NY",$58K - $114K (Glassdoor est.),-1,0,5001 to 10000 Employees,Company - Private,,,$10+ billion (USD),1976
Senior Business Data Analyst,"Intuit - Data
4.5","New York, NY",$73K - $137K (Glassdoor est.),"4.5
★★★★★",1583,5001 to 10000 Employees,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),1983
"Associate Director, Automation & Machine Learning",Dow Jones,"New York, NY",$96K - $201K (Glassdoor est.),"3.6
★★★★★",83,5001 to 10000 Employees,Subsidiary or Business Segment,News Outlet,Media,$500 million to $1 billion (USD),1882
Data Engineer,"Northwell health
4.0","New Hyde Park, NY",$59K - $111K (Glassdoor est.),"4.0
★★★★★",1084,10000+ Employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD),1997
"Data Analyst, Research Outcomes",CyberCoders,"White Plains, NY",$80K - $90K (Employer est.),"4.1
★★★★★",52,201 to 500 Employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),1999
Data Scientist,"Robert Half
3.8","New York, NY",$70K - $128K (Glassdoor est.),"3.8
★★★★★",553,10000+ Employees,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD),1948
Lead Data Scientist,CyberCoders,"New York, NY",$150K - $175K (Employer est.),"4.1
★★★★★",52,201 to 500 Employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),1999
Analytics Engineer,"Harnham
4.0","New York, NY",$125K - $135K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),2006
Business Data Analyst,"MATRIX Resources
4.6","Jersey City, NJ",$58K - $121K (Glassdoor est.),"4.6
★★★★★",22,201 to 500 Employees,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),1983
Senior Data Scientist - Machine Learning,"Harnham
4.0","New York, NY",$180K - $220K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),2006
"Sr. Data Analyst, eCommerce","Adecco
3.7","New York, NY",$90K (Employer est.),"3.7
★★★★★",616,10000+ Employees,Company - Public,Staffing & Outsourcing,Business Services,$10+ billion (USD),1996
Statistical Programmer,"Actalent
4.0","New York, NY",$75 Per Hour(Employer est.),"4.0
★★★★★",46,10000+ Employees,Company - Private,IT Services,Information Technology,$2 to $5 billion (USD),1983
Data Scientist II - Algorithmic Justice Specialist,"ACLU
3.9","New York, NY",$116K (Employer est.),"3.9
★★★★★",34,201 to 500 Employees,Nonprofit Organization,Membership Organizations,Business Services,$50 to $100 million (USD),1920
Client Strategist (Direct Hire - Research & Analytics Firm),Employment Practices Group,"New York, NY",$100K - $125K (Employer est.),-1,0,,,,,,
Director of Client Strategy (Direct Hire - Research & Analytics Firm),Employment Practices Group,"New York, NY",$175K (Employer est.),-1,0,,,,,,
AI Engineer - Hux,"Deloitte
4.0","New York, NY",$85K - $151K (Glassdoor est.),"4.0
★★★★★",347,10000+ Employees,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),1850
"Data Modeling & Visualization Development Analyst, Enterprise Products","Bloomberg
4.1","New York, NY",$89K - $170K (Glassdoor est.),"4.1
★★★★★",1850,10000+ Employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,1981
CLO Research Analyst,PreciseSource,"New York, NY",$150K - $180K (Employer est.),-1,0,1 to 50 Employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,2016
"Director, Data Analytics","Excel Impact
5.0","New York, NY",$100K - $140K (Employer est.),"5.0
★★★★★",8,1 to 50 Employees,Company - Private,Advertising & Marketing,Business Services,$50 to $100 million (USD),2013
Data Engineer,"Wework
3.6","New York, NY",$78K - $151K (Glassdoor est.),"3.6
★★★★★",408,10000+ Employees,Company - Private,Membership Organizations,Business Services,Unknown / Non-Applicable,2010
"Lead, Data Analyst","Wework
3.6","New York, NY",$65K - $120K (Glassdoor est.),"3.6
★★★★★",408,10000+ Employees,Company - Private,Membership Organizations,Business Services,Unknown / Non-Applicable,2010
"Data Scientist, Platforms & News Partnerships",Dow Jones,"New York, NY",$79K - $149K (Glassdoor est.),"3.7
★★★★★",62,5001 to 10000 Employees,Subsidiary or Business Segment,News Outlet,Media,$500 million to $1 billion (USD),1882
Enterprise Research Data Product Manager,"Bloomberg
4.1","New York, NY",$98K - $205K (Glassdoor est.),"4.1
★★★★★",1850,10000+ Employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,1981
"Manager HR Analytics, Advanced Analytics & Modeling","Indeed
4.3","New York, NY",$180K - $260K (Employer est.),"4.3
★★★★★",703,10000+ Employees,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),2004
Data Analyst- Full Time Remote,Michael Page,"New York, NY",$40K - $96K (Glassdoor est.),-1,0,5001 to 10000 Employees,Company - Private,,,$10+ billion (USD),1976
"Data Scientist, Demand Forecasting",Wonder,"New York, NY",$63K - $128K (Glassdoor est.),-1,0,1 to 50 Employees,Company - Private,,,Unknown / Non-Applicable,
Staff Data Scientist - Product Analytics,"Intuit - Data
4.5","New York, NY",$106K - $183K (Glassdoor est.),"4.5
★★★★★",1583,5001 to 10000 Employees,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),1983
Software Engineer (Machine Learning) - Risk,"Uber
4.0","New York, NY",$85K - $184K (Glassdoor est.),"4.0
★★★★★",3142,10000+ Employees,Company - Public,Internet,Information Technology,$10+ billion (USD),2009
Sr. Data Scientist (Remote),"American Family Insurance
3.7",New York State,$191K (Employer est.),"3.7
★★★★★",577,5001 to 10000 Employees,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),1927
Data Engineer,Michael Page,"New York, NY",$58K - $114K (Glassdoor est.),-1,0,5001 to 10000 Employees,Company - Private,,,$10+ billion (USD),1976
Senior Business Intelligence Analyst,"Menlo Park
5.0","New York, NY",$120K - $150K (Employer est.),"5.0
★★★★★",0,1 to 50 Employees,Company - Private,,,Unknown / Non-Applicable,
"Associate Director, Automation & Machine Learning",Dow Jones,"New York, NY",$96K - $201K (Glassdoor est.),"3.7
★★★★★",62,5001 to 10000 Employees,Subsidiary or Business Segment,News Outlet,Media,$500 million to $1 billion (USD),1882
Senior Data Engineer,Dow Jones,"New York, NY",$100K - $169K (Glassdoor est.),"3.7
★★★★★",62,5001 to 10000 Employees,Subsidiary or Business Segment,News Outlet,Media,$500 million to $1 billion (USD),1882
Senior Business Data Analyst,"Intuit - Data
4.5","New York, NY",$73K - $137K (Glassdoor est.),"4.5
★★★★★",1583,5001 to 10000 Employees,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),1983
Computer Vision R&D,"Robert Half
3.8","Brooklyn, NY",$120K - $140K (Employer est.),"3.8
★★★★★",553,10000+ Employees,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD),1948
Analytics Engineer,"Harnham
4.0","New York, NY",$125K - $135K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),2006
AI Scientist - Deep Learning,"Harnham
4.0","New York, NY",$135K - $155K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),2006
"Manager, Game Data Science","Harnham
4.0","New York, NY",$220K - $250K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),2006
Client Strategist (Direct Hire - Research & Analytics Firm),Employment Practices Group,"New York, NY",$100K - $125K (Employer est.),-1,0,,,,,,
Director of Client Strategy (Direct Hire - Research & Analytics Firm),Employment Practices Group,"New York, NY",$175K (Employer est.),-1,0,,,,,,
"Data Modeling & Visualization Development Analyst, Enterprise Products","Bloomberg
4.1","New York, NY",$89K - $170K (Glassdoor est.),"4.1
★★★★★",1850,10000+ Employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,1981
"Director, Data Analytics","Excel Impact
5.0","New York, NY",$100K - $140K (Employer est.),"5.0
★★★★★",8,1 to 50 Employees,Company - Private,Advertising & Marketing,Business Services,$50 to $100 million (USD),2013
CLO Research Analyst,PreciseSource,"New York, NY",$150K - $180K (Employer est.),-1,0,1 to 50 Employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,2016
Data Engineer,"Wework
3.6","New York, NY",$78K - $151K (Glassdoor est.),"3.6
★★★★★",408,10000+ Employees,Company - Private,Membership Organizations,Business Services,Unknown / Non-Applicable,2010
"Lead, Data Analyst","Wework
3.6","New York, NY",$65K - $120K (Glassdoor est.),"3.6
★★★★★",408,10000+ Employees,Company - Private,Membership Organizations,Business Services,Unknown / Non-Applicable,2010
Data Analyst- Full Time Remote,Michael Page,"New York, NY",$40K - $96K (Glassdoor est.),-1,0,5001 to 10000 Employees,Company - Private,,,$10+ billion (USD),1976
"Data Scientist, Distribution Strategy",Dow Jones,"New York, NY",$76K - $149K (Glassdoor est.),"4.1
★★★★★",424,5001 to 10000 Employees,Subsidiary or Business Segment,News Outlet,Media,$500 million to $1 billion (USD),1882
Sr. Data Scientist (Remote),"American Family Insurance
3.7",New York State,$191K (Employer est.),"3.7
★★★★★",577,5001 to 10000 Employees,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),1927
Staff Data Scientist - Product Analytics,"Intuit - Data
4.5","New York, NY",$106K - $183K (Glassdoor est.),"4.5
★★★★★",1583,5001 to 10000 Employees,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),1983
Software Engineer (Machine Learning) - Risk,"Uber
4.0","New York, NY",$85K - $184K (Glassdoor est.),"4.0
★★★★★",3142,10000+ Employees,Company - Public,Internet,Information Technology,$10+ billion (USD),2009
Data Engineer,Michael Page,"New York, NY",$58K - $114K (Glassdoor est.),-1,0,5001 to 10000 Employees,Company - Private,,,$10+ billion (USD),1976
Computer Vision R&D,"Robert Half
3.8","Brooklyn, NY",$120K - $140K (Employer est.),"3.8
★★★★★",553,10000+ Employees,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD),1948
Senior Business Data Analyst,"Intuit - Data
4.5","New York, NY",$73K - $137K (Glassdoor est.),"4.5
★★★★★",1583,5001 to 10000 Employees,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),1983
Senior Business Intelligence Analyst,"Menlo Park
5.0","New York, NY",$120K - $150K (Employer est.),"5.0
★★★★★",0,1 to 50 Employees,Company - Private,,,Unknown / Non-Applicable,
AI Scientist - Deep Learning,"Harnham
4.0","New York, NY",$135K - $155K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),2006
CAT Modeler/Data Analyst,"Core Specialty Insurance
3.6","Jersey City, NJ",$51K - $117K (Glassdoor est.),"3.6
★★★★★",16,1001 to 5000 Employees,Company - Public,Investment Banking & Asset Management,Finance,$1 to $2 billion (USD),
"Data Analyst, Research Outcomes",CyberCoders,"White Plains, NY",$80K - $90K (Employer est.),"4.1
★★★★★",52,201 to 500 Employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),1999
Analytics Engineer,"Harnham
4.0","New York, NY",$125K - $135K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),2006
"Manager, Game Data Science","Harnham
4.0","New York, NY",$220K - $250K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),2006
Director of Data Science,"Harnham
4.0","New York, NY",$200K - $225K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),2006
Computer Vision Scientist - Medical Imaging,"Harnham
4.0","New York, NY",$140K - $160K (Employer est.),"4.0
★★★★★",19,51 to 200 Employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),2006
Data Scientist,"Robert Half
3.8","New York, NY",$70K - $128K (Glassdoor est.),"3.8
★★★★★",553,10000+ Employees,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD),1948
Lead Data Scientist,CyberCoders,"New York, NY",$150K - $175K (Employer est.),"4.1
★★★★★",52,201 to 500 Employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),1999
Statistical Programmer,"Actalent
4.0","New York, NY",$75 Per Hour(Employer est.),"4.0
★★★★★",46,10000+ Employees,Company - Private,IT Services,Information Technology,$2 to $5 billion (USD),1983
Senior Statistician/Psychometrician (Remote and Perm),Medical Recruitment Strategies,"New York, NY",$150K - $165K (Employer est.),-1,0,,,,,,
Client Strategist (Direct Hire - Research & Analytics Firm),Employment Practices Group,"New York, NY",$100K - $125K (Employer est.),-1,0,,,,,,
Director of Client Strategy (Direct Hire - Research & Analytics Firm),Employment Practices Group,"New York, NY",$175K (Employer est.),-1,0,,,,,,
"Data Modeling & Visualization Development Analyst, Enterprise Products","Bloomberg
4.1","New York, NY",$89K - $170K (Glassdoor est.),"4.1
★★★★★",1850,10000+ Employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,1981
"Director, Data Analytics","Excel Impact
5.0",New York State,$100K - $140K,"5.0
★★★★★",8,1 to 50 Employees,Company - Private,Advertising & Marketing,Business Services,$50 to $100 million (USD),2013
CLO Research Analyst,PreciseSource,"New York, NY",$150K - $180K (Employer est.),-1,0,1 to 50 Employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,2016
Data Engineer,"Wework
3.6","New York, NY",$78K - $151K (Glassdoor est.),"3.6
★★★★★",408,10000+ Employees,Company - Private,Membership Organizations,Business Services,Unknown / Non-Applicable,2010
"Lead, Data Analyst","Wework
3.6","New York, NY",$65K - $120K (Glassdoor est.),"3.6
★★★★★",408,10000+ Employees,Company - Private,Membership Organizations,Business Services,Unknown / Non-Applicable,2010
Data Analyst- Full Time Remote,Michael Page,"New York, NY",$40K - $96K (Glassdoor est.),-1,0,5001 to 10000 Employees,Company - Private,,,$10+ billion (USD),1976
